,precision,recall,f1-score,support
Airport,0.9324324324324325,0.9583333333333334,0.9452054794520548,288.0
BareLand,0.9590163934426229,0.9435483870967742,0.951219512195122,248.0
BaseballField,0.9828571428571429,0.9772727272727273,0.98005698005698,176.0
Beach,0.9814814814814815,0.99375,0.9875776397515528,320.0
Bridge,0.9787985865724381,0.9618055555555556,0.9702276707530647,288.0
Center,0.8679245283018868,0.8846153846153846,0.8761904761904762,208.0
Church,0.8706467661691543,0.9114583333333334,0.8905852417302799,192.0
Commercial,0.9142857142857143,0.9142857142857143,0.9142857142857143,280.0
DenseResidential,0.9523809523809523,0.975609756097561,0.963855421686747,328.0
Desert,0.9473684210526315,0.975,0.9609856262833675,240.0
Farmland,0.9764309764309764,0.9797297297297297,0.9780775716694773,296.0
Forest,0.9949748743718593,0.99,0.9924812030075189,200.0
Industrial,0.8964401294498382,0.8878205128205128,0.892109500805153,312.0
Meadow,0.9779735682819384,0.9910714285714286,0.9844789356984479,224.0
MediumResidential,0.960352422907489,0.9396551724137931,0.9498910675381265,232.0
Mountain,0.988929889298893,0.9852941176470589,0.987108655616943,272.0
Park,0.9,0.7714285714285715,0.8307692307692307,280.0
Parking,0.9749216300940439,0.9967948717948718,0.9857369255150555,312.0
Playground,0.9573770491803278,0.9864864864864865,0.9717138103161398,296.0
Pond,0.9665653495440729,0.9464285714285714,0.9563909774436089,336.0
Port,0.9707792207792207,0.9835526315789473,0.9771241830065359,304.0
RailwayStation,0.9282296650717703,0.9326923076923077,0.9304556354916067,208.0
Resort,0.7049808429118773,0.7931034482758621,0.746450304259635,232.0
River,0.9723926380368099,0.9664634146341463,0.9694189602446484,328.0
School,0.8025210084033614,0.7958333333333333,0.799163179916318,240.0
SparseResidential,0.9875518672199171,0.9916666666666667,0.9896049896049897,240.0
Square,0.8729508196721312,0.8068181818181818,0.8385826771653542,264.0
Stadium,0.9612068965517241,0.9612068965517241,0.9612068965517241,232.0
StorageTanks,0.9892857142857143,0.9618055555555556,0.9753521126760564,288.0
Viaduct,0.9852941176470589,0.9970238095238095,0.9911242603550295,336.0
accuracy,0.940875,0.940875,0.940875,0.940875
macro avg,0.9385450366371825,0.9386851633180648,0.9382476946678985,8000.0
weighted avg,0.9414247178672419,0.940875,0.9407869782046575,8000.0
