epoch,train_loss_all,test_loss_all,train_accur_all,test_accur_all
0,2.168973268,0.726181129,0.3638,0.7764
1,1.523656803,0.462605014,0.5491,0.8598
2,1.215877675,0.327685062,0.6396,0.9012
3,1.030847142,0.250386507,0.69455,0.9212
4,0.90210121,0.242085107,0.73276,0.929
5,0.807002482,0.238751398,0.761133333,0.931
6,0.735406949,0.179414141,0.7826,0.9454
7,0.672154542,0.202199677,0.801475,0.9378
8,0.620033493,0.213607241,0.816777778,0.941
9,0.573640954,0.166725405,0.8303,0.9544
10,0.534906706,0.169499876,0.841490909,0.9568
11,0.500624455,0.149537909,0.851466667,0.957
12,0.470018171,0.16742372,0.860415385,0.9538
13,0.445043501,0.154522198,0.867485714,0.9564
14,0.421350133,0.191306975,0.874466667,0.957
15,0.400700157,0.174766943,0.880425,0.958
16,0.381947333,0.168717359,0.885964706,0.958
17,0.365857655,0.172214217,0.890766667,0.9588
18,0.350636782,0.159244548,0.895336842,0.9576
19,0.336428113,0.154432536,0.89967,0.96
20,0.323551896,0.165714989,0.90347619,0.9618
21,0.311423962,0.167546865,0.907063636,0.9592
22,0.300396032,0.167248324,0.910304348,0.9594
23,0.289663895,0.164083342,0.913491667,0.9632
24,0.279868985,0.184811976,0.916288,0.96
25,0.271030454,0.165223719,0.918969231,0.9598
26,0.262403295,0.173018012,0.921511111,0.9596
27,0.254620349,0.183783478,0.9238,0.9598
28,0.247132046,0.177715038,0.926013793,0.96
29,0.2401398,0.16378756,0.92804,0.9628
30,0.233457305,0.164161601,0.930012903,0.9618
31,0.227231677,0.175881483,0.9318625,0.9608
32,0.221212253,0.175624902,0.933642424,0.961
33,0.215663426,0.169345736,0.935305882,0.963
34,0.210363634,0.169162806,0.936925714,0.962
35,0.205510398,0.173313029,0.938377778,0.9604
36,0.200782788,0.165933126,0.939772973,0.9636
37,0.196237619,0.165056628,0.941126316,0.9634
38,0.191925374,0.164436365,0.942410256,0.9628
39,0.187787641,0.168265814,0.94363,0.9628
40,0.183746473,0.173169032,0.944829268,0.961
41,0.179999528,0.166898595,0.945947619,0.9618
42,0.176526079,0.170556713,0.946972093,0.9624
43,0.173015564,0.173282592,0.948013636,0.962
44,0.169796304,0.168649366,0.948995556,0.9626
45,0.166627918,0.169113909,0.949934783,0.9634
46,0.16364694,0.168756408,0.950842553,0.9624
47,0.160852373,0.165363171,0.951683333,0.964
48,0.158056792,0.169994176,0.952546939,0.963
49,0.155315105,0.167522729,0.95336,0.9628
50,0.152712934,0.159842862,0.954141176,0.9624
51,0.150102906,0.166135022,0.954915385,0.9622
52,0.147711339,0.163794331,0.955656604,0.9626
53,0.145474435,0.165642795,0.956348148,0.9622
54,0.143223947,0.16383826,0.957032727,0.9618
55,0.141135874,0.163118049,0.957664286,0.9634
56,0.138973431,0.164226268,0.958329825,0.9638
57,0.136898467,0.167250578,0.958948276,0.9622
58,0.134956134,0.160656011,0.959528814,0.9618
59,0.132999644,0.16304626,0.960126667,0.9628
60,0.131196849,0.165787426,0.960659016,0.9622
61,0.129432677,0.167188693,0.961190323,0.963
62,0.127793749,0.164800673,0.961679365,0.9622
63,0.12610736,0.162458597,0.96218125,0.9628
64,0.12444172,0.168080296,0.962695385,0.962
65,0.122938639,0.164738699,0.963151515,0.9628
66,0.121451458,0.165671786,0.96359403,0.9628
67,0.120024587,0.164782865,0.964017647,0.9624
68,0.118597728,0.165746619,0.964446377,0.962
69,0.117236279,0.165731138,0.964854286,0.9634
70,0.115924173,0.164611511,0.965247887,0.9624
71,0.114604759,0.16364188,0.965652778,0.9626
72,0.11337159,0.166582023,0.966030137,0.9626
73,0.112089455,0.166827668,0.966413514,0.9622
74,0.110918327,0.166132027,0.966765333,0.9622
75,0.109777246,0.170042388,0.967107895,0.9618
76,0.108643005,0.166248828,0.967438961,0.9618
77,0.107532554,0.1669865,0.967769231,0.9632
78,0.106406479,0.163215083,0.968098734,0.9622
79,0.105349384,0.170187074,0.968435,0.962
80,0.104258781,0.165053792,0.96877284,0.9638
81,0.103232665,0.164272438,0.969058537,0.9632
82,0.102212612,0.165438318,0.969366265,0.9632
83,0.101269563,0.164730739,0.969654762,0.9632
84,0.100316099,0.163390127,0.969941176,0.9634
85,0.099340773,0.166061664,0.970232558,0.9618
86,0.098438077,0.161940307,0.970508046,0.9626
87,0.097593052,0.164537201,0.970763636,0.963
88,0.096709074,0.168296107,0.971038202,0.9628
89,0.095940288,0.167510565,0.971266667,0.9626
90,0.095137136,0.166133228,0.971507692,0.963
91,0.094294122,0.166667598,0.971765217,0.9626
92,0.093488472,0.167045005,0.971997849,0.961
93,0.092709484,0.165211984,0.972238298,0.9632
94,0.091959626,0.170221853,0.972473684,0.9624
95,0.091253724,0.165885567,0.972689583,0.9622
96,0.090530051,0.165681279,0.972901031,0.9632
97,0.089860101,0.166460947,0.973112245,0.9628
98,0.089152443,0.163518837,0.973327273,0.9646
99,0.088457005,0.163747407,0.97353,0.963
