,precision,recall,f1-score,support
airplane,0.9790996784565916,0.9666666666666667,0.9728434504792333,630.0
airport,0.8894080996884736,0.9063492063492063,0.8977987421383647,630.0
baseball_diamond,0.9521531100478469,0.9476190476190476,0.9498806682577566,630.0
basketball_court,0.9707792207792207,0.9492063492063492,0.9598715890850722,630.0
beach,0.9506369426751592,0.9476190476190476,0.9491255961844196,630.0
bridge,0.9505766062602965,0.9158730158730158,0.9329021827000809,630.0
chaparral,0.9841521394611727,0.9857142857142858,0.9849325931800159,630.0
church,0.7785588752196837,0.7031746031746032,0.7389491242702252,630.0
circular_farmland,0.9716535433070866,0.9793650793650793,0.9754940711462451,630.0
cloud,0.960691823899371,0.9698412698412698,0.9652448657187993,630.0
commercial_area,0.7817919075144508,0.8587301587301587,0.8184568835098335,630.0
dense_residential,0.864,0.8571428571428571,0.8605577689243028,630.0
desert,0.9041916167664671,0.9587301587301588,0.9306625577812019,630.0
forest,0.9195046439628483,0.9428571428571428,0.9310344827586207,630.0
freeway,0.8780864197530864,0.9031746031746032,0.8904538341158058,630.0
golf_course,0.9565217391304348,0.9777777777777777,0.967032967032967,630.0
ground_track_field,0.952755905511811,0.9603174603174603,0.9565217391304348,630.0
harbor,0.9761146496815286,0.973015873015873,0.9745627980922098,630.0
industrial_area,0.8435483870967742,0.8301587301587302,0.8368,630.0
intersection,0.9525368248772504,0.9238095238095239,0.9379532634971797,630.0
island,0.9392,0.9317460317460318,0.9354581673306773,630.0
lake,0.8945736434108527,0.9158730158730158,0.9050980392156861,630.0
meadow,0.9129082426127527,0.9317460317460318,0.9222309505106049,630.0
medium_residential,0.7893961708394698,0.8507936507936508,0.8189457601222306,630.0
mobile_home_park,0.9230769230769231,0.8952380952380953,0.9089443996776793,630.0
mountain,0.9238249594813615,0.9047619047619048,0.9141940657578188,630.0
overpass,0.890190336749634,0.9650793650793651,0.9261233815689262,630.0
palace,0.7272727272727273,0.6476190476190476,0.6851385390428211,630.0
parking_lot,0.9541864139020537,0.9587301587301588,0.9564528899445764,630.0
railway,0.8673621460506706,0.9238095238095239,0.8946963873943121,630.0
railway_station,0.8164852255054432,0.8333333333333334,0.8248232521602514,630.0
rectangular_farmland,0.890795631825273,0.9063492063492063,0.8985051140833988,630.0
river,0.9082125603864735,0.8952380952380953,0.9016786570743407,630.0
roundabout,0.9614147909967846,0.9492063492063492,0.9552715654952076,630.0
runway,0.9305785123966942,0.8936507936507937,0.9117408906882591,630.0
sea_ice,0.9935794542536116,0.9825396825396825,0.9880287310454907,630.0
ship,0.9559055118110236,0.9634920634920635,0.9596837944664032,630.0
snowberg,0.9804241435562806,0.953968253968254,0.9670152855993566,630.0
sparse_residential,0.9073482428115016,0.9015873015873016,0.9044585987261147,630.0
stadium,0.9384116693679092,0.919047619047619,0.9286287089013632,630.0
storage_tank,0.9695024077046549,0.9587301587301588,0.9640861931364725,630.0
tennis_court,0.9593114241001565,0.973015873015873,0.9661150512214342,630.0
terrace,0.9072327044025157,0.9158730158730158,0.9115323854660347,630.0
thermal_power_station,0.9185667752442996,0.8952380952380953,0.9067524115755627,630.0
wetland,0.9141414141414141,0.861904761904762,0.8872549019607844,630.0
accuracy,0.9152380952380952,0.9152380952380952,0.9152380952380952,0.9152380952380952
macro avg,0.9153480925775563,0.9152380952380951,0.9149763844481905,28350.0
weighted avg,0.9153480925775564,0.9152380952380952,0.9149763844481906,28350.0
