epoch,train_loss_all,test_loss_all,train_accur_all,test_accur_all
0,3.642664774,3.259815309,0.04952381,0.139753086
1,3.354406409,2.409650571,0.095396825,0.28638448
2,3.095514819,1.876713133,0.146349206,0.433968254
3,2.837165243,1.451974562,0.203730159,0.559929453
4,2.611781594,1.157111729,0.257142857,0.650970018
5,2.425312199,0.892768089,0.306719577,0.724303351
6,2.255827529,0.755424139,0.352698413,0.780634921
7,2.114321918,0.817236686,0.391785714,0.739329806
8,1.992687157,0.65566747,0.424973545,0.795414462
9,1.889689025,0.67906238,0.453460317,0.789594356
10,1.797405516,0.688781324,0.48,0.796402116
11,1.731135651,0.690030322,0.50042328,0.812804233
12,1.660784027,0.659475011,0.520610501,0.820987654
13,1.590812148,0.621943122,0.541609977,0.828148148
14,1.529557452,0.579481456,0.559280423,0.840564374
15,1.473305951,0.588078414,0.575575397,0.857989418
16,1.418213999,0.595424611,0.591484594,0.854144621
17,1.370797898,0.686393389,0.604814815,0.834426808
18,1.328164087,0.626693909,0.617192982,0.827336861
19,1.282152387,0.607037499,0.630238095,0.860599647
20,1.236427838,0.565844759,0.643280423,0.869029982
21,1.195272832,0.540928455,0.655353535,0.882680776
22,1.156806393,0.568684985,0.666556246,0.864514991
23,1.119333124,0.510152034,0.677142857,0.885149912
24,1.084730768,0.55193662,0.687136508,0.884656085
25,1.05286664,0.528989025,0.696239316,0.88627866
26,1.02397963,0.570400802,0.704656085,0.877742504
27,0.995527851,0.548470835,0.712868481,0.893121693
28,0.970007104,0.554101179,0.720251779,0.894003527
29,0.944525753,0.558375864,0.727502646,0.88377425
30,0.921140341,0.575692496,0.734265233,0.894285714
31,0.898985896,0.530360191,0.740753968,0.898835979
32,0.877571388,0.514461347,0.747128427,0.892592593
33,0.856287287,0.576920169,0.753352007,0.893121693
34,0.835965462,0.57666259,0.759219955,0.895238095
35,0.816682889,0.5434726,0.764876543,0.900776014
36,0.798471255,0.591735906,0.77017589,0.897248677
37,0.780813598,0.580260903,0.775329992,0.901128748
38,0.764448656,0.602606792,0.78003256,0.893368607
39,0.747879164,0.559045193,0.784825397,0.90366843
40,0.731667899,0.56034451,0.789531552,0.902222222
41,0.716029554,0.54726679,0.794006047,0.906031746
42,0.700785217,0.546599766,0.798405316,0.905467372
43,0.686351764,0.555757581,0.802503608,0.905714286
44,0.672878032,0.559508567,0.806426808,0.904444444
45,0.659668025,0.543523293,0.810276052,0.905326279
46,0.646855951,0.51871449,0.813995272,0.910229277
47,0.634400274,0.554889773,0.817612434,0.907901235
48,0.62273606,0.52347978,0.820971817,0.909664903
49,0.611153881,0.534779343,0.824304762,0.909100529
50,0.600258753,0.570095134,0.827475879,0.905467372
51,0.589407223,0.555094424,0.830616606,0.908430335
52,0.578991303,0.553031486,0.833668763,0.908677249
53,0.568977265,0.561604234,0.836572604,0.907583774
54,0.55932153,0.552824077,0.839388167,0.909171076
55,0.550058219,0.531870532,0.842046485,0.909312169
56,0.541180835,0.551047483,0.844611529,0.907795414
57,0.532464694,0.546262218,0.84713191,0.909382716
58,0.524089109,0.542764245,0.849545332,0.909029982
59,0.515916907,0.529211466,0.851888889,0.910970018
60,0.507965588,0.533489082,0.854160812,0.910229277
61,0.500204839,0.530311996,0.85640553,0.910229277
62,0.492707529,0.532647161,0.858599143,0.91015873
63,0.485374604,0.532678502,0.860714286,0.911992945
64,0.478439741,0.516562182,0.862661783,0.911287478
65,0.47154295,0.521824133,0.864641655,0.912380952
66,0.46480314,0.523745757,0.866590855,0.912345679
67,0.458341874,0.538079853,0.868454715,0.911851852
68,0.451970527,0.549555369,0.870301357,0.909135802
69,0.445802067,0.522913837,0.872077098,0.914144621
70,0.439854977,0.527177571,0.873807288,0.913439153
71,0.434003686,0.515491262,0.875489418,0.912698413
72,0.428331778,0.53260644,0.877142857,0.912275132
73,0.422856529,0.52126335,0.878730159,0.914038801
74,0.417529265,0.510275115,0.880270899,0.9135097
75,0.41225216,0.503977934,0.881796157,0.914991182
76,0.407193685,0.516796641,0.883273552,0.913932981
77,0.402274172,0.510587385,0.884696785,0.911851852
78,0.397603488,0.504446422,0.886051838,0.914003527
79,0.392928976,0.497194554,0.887392857,0.91308642
80,0.388338461,0.519925217,0.888732118,0.910970018
81,0.383903513,0.50622224,0.890003871,0.912768959
82,0.379503616,0.49381499,0.891287053,0.913544974
83,0.375185254,0.497420523,0.892535903,0.913474427
84,0.371030218,0.495750446,0.893744164,0.913932981
85,0.366875535,0.494494913,0.894957549,0.913121693
86,0.362840805,0.492272536,0.896128444,0.912910053
87,0.358900701,0.49857569,0.897265512,0.913650794
88,0.355124286,0.503296198,0.898359194,0.912557319
89,0.351435132,0.509662527,0.899446208,0.912733686
90,0.347833493,0.492378599,0.900491889,0.913156966
91,0.344338687,0.489938582,0.901518288,0.912804233
92,0.340792925,0.500806904,0.902543096,0.912098765
93,0.33731757,0.50176912,0.903552854,0.911499118
94,0.333954593,0.499803661,0.904517962,0.913262787
95,0.330658655,0.483608354,0.905459656,0.91340388
96,0.327399226,0.497161724,0.906398298,0.913121693
97,0.324239214,0.486403681,0.907295109,0.913686067
98,0.321159431,0.476354554,0.908183422,0.915238095
99,0.318093648,0.493110076,0.909069841,0.912169312
